Date,Price,Open,High,Low,Vol.,Change %
12/29/2023,76.91,77.26,77.81,76.6,83.30K,-0.31%
12/28/2023,77.15,79.55,79.87,77.1,282.23K,-3.00%
12/27/2023,79.54,80.57,81.02,79.23,282.66K,-1.62%
12/26/2023,80.85,78.74,81.45,78.37,184.69K,2.60%
12/22/2023,78.8,79.13,80.1,78.64,227.18K,-0.45%
12/21/2023,79.16,79.04,79.99,77.8,298.92K,-0.63%
12/20/2023,79.66,79.3,80.6,79.1,324.26K,0.37%
12/19/2023,79.37,78.2,79.77,77.54,246.03K,1.61%
12/18/2023,78.11,77.06,79.65,76,291.88K,1.76%
12/15/2023,76.76,76.87,77.49,75.56,218.70K,-0.12%
12/14/2023,76.85,74.92,77.53,74.68,239.44K,3.14%
12/13/2023,74.51,73.53,74.92,72.67,244.25K,1.35%
12/12/2023,73.52,76.34,76.86,73.19,281.59K,-3.58%
12/11/2023,76.25,75.87,76.65,75.23,172.10K,0.33%
12/08/2023,76,74.75,76.5,74.37,178.32K,2.37%
12/07/2023,74.24,74.6,75.59,73.85,214.54K,-0.28%
12/06/2023,74.45,77.11,77.59,74.25,273.58K,-3.52%
12/05/2023,77.17,78.51,79.07,76.99,268.74K,-1.15%
12/04/2023,78.07,79.37,79.6,77.57,256.42K,-0.89%
12/01/2023,78.77,80.48,81.24,78.65,233.31K,-2.58%
11/30/2023,80.86,82.62,84.61,80.01,629.32K,-2.44%
11/29/2023,82.88,81.64,82.99,80.72,404.82K,1.73%
11/28/2023,81.47,80.17,81.97,79.7,335.29K,2.00%
11/27/2023,79.87,80.16,81.14,79.07,282.80K,-0.76%
11/24/2023,80.48,81.25,82.03,80.04,186.41K,-0.95%
11/23/2023,81.25,81.46,81.48,80.1,153.77K,-0.77%
11/22/2023,81.88,82.49,82.68,78.48,398.22K,-0.73%
11/21/2023,82.48,82.23,82.56,81.5,238.13K,0.17%
11/20/2023,82.34,80.17,82.85,79.5,236.88K,2.29%
11/17/2023,80.5,77.67,80.66,77.38,294.76K,3.86%
11/16/2023,77.51,80.81,81.1,76.71,357.63K,-4.37%
11/15/2023,81.05,82.13,82.75,80.71,242.33K,-1.41%
11/14/2023,82.21,82.34,83.62,81.75,175.96K,0.02%
11/13/2023,82.19,81.13,82.47,80.14,186.04K,1.31%
11/10/2023,81.13,79.67,81.76,79.63,186.43K,1.62%
11/09/2023,79.84,79.55,81.24,79.28,213.19K,0.54%
11/08/2023,79.41,81.1,81.66,79.11,310.42K,-2.34%
11/07/2023,81.31,84.77,84.81,81.12,263.79K,-4.10%
11/06/2023,84.79,84.7,85.92,84.36,168.27K,0.46%
11/03/2023,84.4,86.27,87.12,84.06,175.29K,-2.14%
11/02/2023,86.25,84.41,86.42,84.08,181.58K,2.62%
11/01/2023,84.05,84.78,86.52,83.99,195.74K,-1.14%
10/31/2023,85.02,86.66,87.39,84.77,413.76K,-1.54%
10/30/2023,86.35,88.94,88.94,85.81,406.56K,-3.20%
10/27/2023,89.2,87.48,89.43,86.82,375.68K,2.47%
10/26/2023,87.05,88.83,89.27,86.5,358.87K,-2.32%
10/25/2023,89.12,87.16,89.31,85.77,432.68K,2.25%
10/24/2023,87.16,89.37,89.49,86.38,340.64K,-1.73%
10/23/2023,88.69,90.98,91.15,88.56,249.65K,-2.42%
