Date,Price,Open,High,Low,Vol.,Change %
02/17/2023,2.7018,2.7753,2.7798,2.6467,52.16K,-3.20%
02/16/2023,2.7911,2.8183,2.8593,2.7657,37.08K,-0.99%
02/15/2023,2.819,2.8852,2.8871,2.7812,45.88K,-3.08%
02/14/2023,2.9086,2.8512,2.915,2.8209,45.32K,1.21%
02/13/2023,2.8739,2.8461,2.888,2.7902,36.56K,1.29%
02/10/2023,2.8372,2.7843,2.8792,2.7702,41.76K,1.86%
02/09/2023,2.7853,2.8647,2.8917,2.76,37.78K,-2.53%
02/08/2023,2.8576,2.8573,2.9177,2.8265,53.00K,0.27%
02/07/2023,2.85,2.7298,2.8572,2.7178,44.70K,4.72%
02/06/2023,2.7215,2.7337,2.7647,2.635,42.82K,-0.10%
02/03/2023,2.7242,2.8369,2.8626,2.7162,40.78K,-3.66%
02/02/2023,2.8278,2.8904,2.903,2.823,38.21K,-1.74%
02/01/2023,2.878,3.0349,3.0487,2.8564,47.25K,-8.48%
01/31/2023,3.1448,3.056,3.1578,3.0068,54.36K,2.78%
01/30/2023,3.0598,3.2,3.2137,3.0534,68.69K,-3.94%
01/27/2023,3.1852,3.2983,3.3408,3.1692,71.70K,-3.35%
01/26/2023,3.2957,3.2596,3.3247,3.217,48.29K,1.10%
01/25/2023,3.2598,3.3518,3.4012,3.2352,69.35K,-1.98%
01/24/2023,3.3258,3.4379,3.4664,3.3147,61.73K,-3.25%
01/23/2023,3.4374,3.3602,3.4507,3.3433,55.16K,2.36%
01/20/2023,3.3583,3.2918,3.3699,3.2609,65.81K,2.36%
01/19/2023,3.2808,3.1745,3.2908,3.1347,68.00K,3.07%
01/18/2023,3.1831,3.187,3.2544,3.1527,44.74K,0.44%
01/17/2023,3.1691,3.1845,3.2198,3.1391,58.70K,-2.71%
01/16/2023,3.2573,3.2628,3.2788,3.2434,,-0.17%
01/15/2023,3.263,3.2763,3.2769,3.263,,3.10%
01/13/2023,3.1649,3.1248,3.1848,3.1063,44.09K,1.45%
01/12/2023,3.1198,3.0811,3.1558,3.0581,50.11K,0.76%
01/11/2023,3.0962,2.9954,3.1126,2.974,63.36K,2.77%
01/10/2023,3.0127,2.9522,3.0335,2.9259,53.76K,2.01%
01/09/2023,2.9534,2.9338,3.0179,2.9226,42.98K,1.10%
