Date,Price,Open,High,Low,Vol.,Change %
05/22/2022,3.8418,3.8389,3.8441,3.8239,,0.13%
05/20/2022,3.837,3.8293,3.8918,3.7852,3.38K,0.14%
05/19/2022,3.8317,3.7244,3.8352,3.5675,2.15K,2.99%
05/18/2022,3.7206,3.9486,3.9819,3.6803,5.20K,-5.61%
05/17/2022,3.9417,4.0222,4.0517,3.9062,9.13K,-2.02%
05/16/2022,4.0229,3.9869,4.0634,3.9188,6.12K,0.54%
05/15/2022,4.0011,3.9822,4.012,3.9794,,1.09%
05/13/2022,3.9578,3.8263,3.9723,3.8263,9.72K,4.38%
05/12/2022,3.7917,3.6808,3.8101,3.6179,8.26K,2.88%
05/11/2022,3.6855,3.5164,3.7075,3.5061,6.98K,4.07%
05/10/2022,3.5415,3.5597,3.6627,3.5024,6.20K,-2.76%
05/09/2022,3.6419,3.781,3.8023,3.6161,7.35K,-3.96%
05/08/2022,3.7921,3.7888,3.7983,3.7858,,0.88%
05/06/2022,3.759,3.6591,3.8228,3.6508,8.65K,2.74%
05/05/2022,3.6587,3.6518,3.7195,3.595,7.84K,0.18%
05/04/2022,3.6523,3.5618,3.6748,3.544,11.56K,4.32%
05/03/2022,3.5012,3.4833,3.5428,3.4434,10.31K,-0.25%
05/02/2022,3.5101,3.4291,3.529,3.3472,15.94K,2.28%
05/01/2022,3.4317,3.4264,3.4409,3.4226,,-0.31%
04/29/2022,3.4424,3.4354,3.4986,3.423,13.63K,-1.74%
04/28/2022,3.5034,3.4244,3.5277,3.4201,0.78K,1.37%
04/27/2022,3.456,3.3854,3.4771,3.3229,3.46K,3.51%
04/26/2022,3.3388,3.251,3.3758,3.2007,3.76K,3.06%
04/25/2022,3.2398,3.2713,3.2713,3.1382,1.81K,-0.43%
04/24/2022,3.2539,3.2666,3.2672,3.242,,-1.55%
04/22/2022,3.305,3.3339,3.3339,3.2666,4.68K,-1.01%
04/21/2022,3.3386,3.3172,3.3457,3.2727,1.99K,1.64%
04/20/2022,3.2848,3.2707,3.3048,3.1981,3.71K,1.15%
04/19/2022,3.2474,3.3835,3.3835,3.2116,2.89K,-3.87%
04/18/2022,3.3781,3.3875,3.4444,3.3337,5.23K,-1.12%
04/17/2022,3.4165,3.404,3.4238,3.4019,,1.04%
04/14/2022,3.3814,3.2874,3.3982,3.2341,6.58K,2.74%
04/13/2022,3.2913,3.172,3.2969,3.1396,6.51K,4.36%
04/12/2022,3.1538,3.0195,3.1747,3.0195,4.63K,5.02%
04/11/2022,3.0031,3.1259,3.1259,2.9938,4.68K,-2.76%
04/10/2022,3.0883,3.1253,3.1265,3.0861,,-1.38%
04/08/2022,3.1316,3.059,3.1408,3.0169,3.85K,3.02%
04/07/2022,3.0398,3.0794,3.1102,2.9855,3.63K,-0.21%
04/06/2022,3.0462,3.1469,3.2077,3.0336,2.93K,-3.75%
04/05/2022,3.1649,3.2242,3.2478,3.1115,2.17K,-1.04%
04/04/2022,3.1981,3.1494,3.2419,3.119,2.33K,1.96%
04/03/2022,3.1366,3.138,3.1433,3.1272,,-0.54%
04/01/2022,3.1535,3.1655,3.1869,3.099,2.47K,0.08%
03/31/2022,3.1509,3.1791,3.234,3.1217,7.36K,-5.24%
03/30/2022,3.325,3.2649,3.3137,3.2603,0.11K,3.80%
03/29/2022,3.2033,3.1977,3.2862,3.077,0.76K,-0.48%
03/28/2022,3.2188,3.4183,3.4183,3.1518,0.79K,-4.32%
03/27/2022,3.3643,3.3739,3.3946,3.3636,,-3.05%
03/25/2022,3.47,3.3881,3.4714,3.3182,1.30K,2.37%
03/24/2022,3.3897,3.477,3.4945,3.3443,1.01K,-1.42%
03/23/2022,3.4387,3.3404,3.4557,3.3258,1.29K,3.24%
03/22/2022,3.3307,3.4098,3.4223,3.3004,0.62K,-1.21%
03/21/2022,3.3716,3.3104,3.4007,3.2987,0.75K,3.32%
03/20/2022,3.2634,3.2431,3.2664,3.2229,,0.76%
03/18/2022,3.2388,3.2117,3.2672,3.1578,6.33K,0.69%
03/17/2022,3.2166,3.0066,3.2253,3.0066,5.30K,7.67%
03/16/2022,2.9875,2.9653,3.0723,2.9566,1.97K,-0.35%
03/15/2022,2.9981,3.1435,3.1435,2.889,2.59K,-5.39%
03/14/2022,3.1689,3.3094,3.3094,3.1026,3.50K,-3.09%
03/13/2022,3.27,3.3093,3.3101,3.2513,,-1.27%
03/11/2022,3.3121,3.1807,3.319,3.11,5.27K,4.92%
03/10/2022,3.1567,3.2774,3.4276,3.1368,3.20K,-4.16%
03/09/2022,3.2938,3.7202,3.7555,3.2369,3.44K,-10.56%
