Date,Price,Open,High,Low,Vol.,Change %
03/12/2024,77.56,78.09,78.73,77.34,309.92K,-0.47%
03/11/2024,77.93,77.8,78.47,76.79,329.87K,-0.10%
03/08/2024,78.01,79.51,79.99,77.56,347.53K,-1.17%
03/07/2024,78.93,79.13,79.53,78.02,432.92K,-0.25%
03/06/2024,79.13,78.15,80.67,77.99,371.05K,1.25%
03/05/2024,78.15,78.74,79.49,77.52,436.52K,-0.75%
03/04/2024,78.74,80.14,80.41,78.56,347.21K,-1.54%
03/01/2024,79.97,78.28,80.85,78.05,363.42K,2.19%
02/29/2024,78.26,78.2,79.28,77.94,317.94K,-0.36%
02/28/2024,78.54,78.48,79.62,77.78,330.04K,-0.42%
02/27/2024,78.87,77.62,79,77.17,269.24K,1.66%
02/26/2024,77.58,76.4,78.03,75.84,274.71K,1.43%
02/23/2024,76.49,78.37,78.39,76.35,353.44K,-2.70%
02/22/2024,78.61,78.09,78.92,77.23,330.51K,0.90%
02/21/2024,77.91,77.15,78.08,76.32,323.24K,-0.35%
02/20/2024,78.18,78.98,79.8,77.67,34.87K,0.09%
02/19/2024,78.11,78.16,78.56,77.64,,-1.36%
02/16/2024,79.19,78.11,79.35,77.22,113.71K,1.49%
02/15/2024,78.03,76.6,78.44,75.78,122.43K,1.81%
02/14/2024,76.64,77.81,78.77,76.38,296.13K,-1.58%
02/13/2024,77.87,77.03,78.47,76.87,338.17K,1.24%
02/12/2024,76.92,76.6,77.09,75.54,248.48K,0.10%
02/09/2024,76.84,76.42,77.29,75.93,302.61K,0.81%
02/08/2024,76.22,74.08,76.59,73.56,377.91K,3.20%
02/07/2024,73.86,73.5,74.22,73.23,294.96K,0.75%
02/06/2024,73.31,72.76,73.82,72.38,310.96K,0.73%
02/05/2024,72.78,72.75,73.28,71.41,350.84K,0.69%
02/02/2024,72.28,73.91,74.52,71.79,467.77K,-2.09%
02/01/2024,73.82,75.96,76.95,73.7,577.94K,-2.68%
01/31/2024,75.85,77.84,78.11,75.52,344.49K,-2.53%
01/30/2024,77.82,77.02,78.14,75.85,347.24K,1.35%
01/29/2024,76.78,78.9,79.29,76.41,331.93K,-1.58%
01/26/2024,78.01,77.15,78.26,76.06,365.46K,0.84%
01/25/2024,77.36,75.3,77.51,75.16,320.18K,3.02%
01/24/2024,75.09,74.57,75.83,73.94,323.73K,0.97%
01/23/2024,74.37,74.68,75.25,73.41,306.06K,-1.09%
01/22/2024,75.19,73.41,75.75,72.89,28.91K,2.42%
01/19/2024,73.41,74.08,74.91,73.2,78.23K,-0.90%
01/18/2024,74.08,72.78,74.38,72.18,86.65K,2.09%
01/17/2024,72.56,72,72.95,70.5,315.68K,0.22%
01/16/2024,72.4,72.63,73.56,71.23,430.44K,-0.54%
01/15/2024,72.79,72.69,73.09,71.41,,0.15%
01/12/2024,72.68,73.01,75.25,72.36,403.64K,0.92%
01/11/2024,72.02,71.33,73.81,71.17,373.65K,0.91%
01/10/2024,71.37,72.17,73.59,71.01,352.77K,-1.20%
01/09/2024,72.24,70.91,72.93,70.47,363.45K,2.08%
01/08/2024,70.77,73.51,73.95,70.13,392.25K,-4.12%
01/05/2024,73.81,72.4,74.24,72.21,325.53K,2.24%
01/04/2024,72.19,73.04,74,71.06,344.47K,-0.70%
01/03/2024,72.7,70.5,73.23,69.28,334.86K,3.30%
01/02/2024,70.38,71.71,73.64,70.06,330.99K,-2.21%
01/01/2024,71.97,71.67,72.24,71.67,,0.45%
12/29/2023,71.65,71.99,72.62,71.25,214.49K,-0.17%
12/28/2023,71.77,73.8,74.4,71.72,262.75K,-3.16%
12/27/2023,74.11,75.32,75.66,73.77,253.32K,-1.93%
12/26/2023,75.57,73.56,76.18,73.13,208.72K,2.41%
12/25/2023,73.79,73.49,73.94,73.48,,0.31%
12/22/2023,73.56,73.91,74.98,73.39,222.60K,-0.45%
12/21/2023,73.89,73.81,74.58,72.44,251.98K,-0.44%
12/20/2023,74.22,74.06,75.37,73.6,273.36K,1.06%
12/19/2023,73.44,72.48,74.01,71.85,25.69K,1.34%
12/18/2023,72.47,71.68,74.26,70.64,73.94K,1.46%
12/15/2023,71.43,71.61,72.22,70.3,95.51K,-0.21%
12/14/2023,71.58,69.85,72.46,69.54,275.69K,3.04%
12/13/2023,69.47,68.73,69.89,67.71,307.00K,1.25%
12/12/2023,68.61,71.43,71.96,68.22,324.53K,-3.80%
12/11/2023,71.32,71.15,71.81,70.35,274.41K,0.13%
12/08/2023,71.23,69.76,71.63,69.5,302.25K,2.73%
12/07/2023,69.34,69.28,70.48,68.8,339.00K,-0.06%
12/06/2023,69.38,72.1,72.6,69.11,436.80K,-4.07%
12/05/2023,72.32,73.3,74.12,72.02,358.70K,-0.99%
12/04/2023,73.04,74.58,75.03,72.63,388.83K,-1.39%
12/01/2023,74.07,75.59,76.76,73.93,358.98K,-2.49%
11/30/2023,75.96,77.75,79.6,75.05,559.17K,-2.44%
11/29/2023,77.86,76.56,78.09,75.67,322.17K,1.90%
11/28/2023,76.41,75.07,77.02,74.64,286.62K,2.07%
11/27/2023,74.86,75.31,76.23,74.06,289.56K,-0.90%
11/24/2023,75.54,76.79,77.09,75.07,281.15K,-1.05%
11/23/2023,76.34,76.69,76.81,75.31,,-0.99%
11/22/2023,77.1,77.77,77.97,73.79,389.33K,-0.86%
11/21/2023,77.77,77.65,77.92,76.92,238.63K,0.22%
11/20/2023,77.6,75.65,78.22,75.65,27.25K,2.25%
11/17/2023,75.89,72.97,75.99,72.75,101.48K,4.10%
11/16/2023,72.9,76.6,76.63,72.16,125.17K,-4.90%
11/15/2023,76.66,78.17,78.77,76.31,282.30K,-2.04%
11/14/2023,78.26,78.53,79.77,77.79,263.00K,0.00%
11/13/2023,78.26,77.15,78.64,76.21,262.90K,1.41%
11/10/2023,77.17,75.59,77.73,75.31,267.00K,1.89%
11/09/2023,75.74,75.65,77.16,75.21,303.43K,0.54%
11/08/2023,75.33,77.12,77.53,74.91,429.65K,-2.64%
11/07/2023,77.37,80.93,81.05,77.09,396.29K,-4.27%
11/06/2023,80.82,81.13,82.24,80.66,271.13K,0.39%
11/03/2023,80.51,82.58,83.6,80.1,457.28K,-2.36%
11/02/2023,82.46,80.82,82.83,80.22,307.12K,2.51%
11/01/2023,80.44,81.48,83.42,80.3,321.59K,-0.72%
10/31/2023,81.02,82.59,83.37,80.74,346.01K,-1.57%
10/30/2023,82.31,85,85.3,81.82,356.93K,-3.78%
10/27/2023,85.54,83.53,85.9,83.1,333.76K,2.80%
10/26/2023,83.21,85.37,85.59,82.56,341.79K,-2.55%
10/25/2023,85.39,83.69,85.56,82.08,429.46K,1.97%
10/24/2023,83.74,86.15,86.3,82.94,370.59K,-2.05%
10/23/2023,85.49,88,88.29,85.35,315.52K,-3.67%
10/20/2023,88.75,90.28,90.78,88.33,27.31K,-0.69%
10/19/2023,89.37,88.24,90.68,86.6,72.06K,1.19%
10/18/2023,88.32,87.81,89.88,87.2,92.80K,1.92%
10/17/2023,86.66,87.06,87.75,85.6,197.12K,0.00%
10/16/2023,86.66,87.72,88.33,86.32,235.78K,-1.17%
10/13/2023,87.69,83.51,87.83,83.35,356.86K,5.77%
10/12/2023,82.91,83.2,85.2,82.31,373.49K,-0.69%
10/11/2023,83.49,85.96,86.51,83.11,425.40K,-2.88%
10/10/2023,85.97,86.43,86.74,85.12,337.65K,-0.47%
10/09/2023,86.38,85.25,87.24,84.67,435.04K,4.34%
10/06/2023,82.79,82.28,83.28,81.5,461.14K,0.58%
10/05/2023,82.31,84.45,84.92,82.15,466.00K,-2.27%
10/04/2023,84.22,89.42,89.59,84.16,460.00K,-5.61%
10/03/2023,89.23,88.67,90.27,87.76,350.66K,0.46%
10/02/2023,88.82,90.82,91.88,88.46,334.49K,-2.17%
09/29/2023,90.79,91.76,93.1,90.35,355.78K,-1.00%
09/28/2023,91.71,93.78,95.03,91.39,406.71K,-2.10%
09/27/2023,93.68,90.53,94.17,90.4,504.63K,3.64%
09/26/2023,90.39,89.88,90.74,88.19,318.02K,0.79%
09/25/2023,89.68,90.55,90.83,89.03,328.37K,-0.39%
09/22/2023,90.03,89.62,91.33,89.31,402.09K,0.45%
09/21/2023,89.63,89.3,90.98,88.37,351.03K,-0.72%
09/20/2023,90.28,91.55,91.98,89.87,35.99K,-1.01%
09/19/2023,91.2,92.22,93.74,91.07,94.60K,-0.31%
09/18/2023,91.48,91.2,92.43,90.75,119.26K,0.78%
09/15/2023,90.77,90.67,91.23,89.22,315.00K,0.68%
09/14/2023,90.16,88.81,90.79,88.68,325.27K,1.85%
09/13/2023,88.52,88.75,89.64,88.29,345.97K,-0.36%
09/12/2023,88.84,87.27,89.37,87.22,341.14K,1.78%
